FUND,Broker Code,BROKER,CAXTON_BROKER_NAME,CSA_TYPE,ACCOUNT,Instrument Type,INST_TYPE_GROUP,DESCRIPTION,TICKER,ISIN,SEDOL,CUSIP,Trade Id,Trade Date,Settle Date,B/S, QUANTITY , Agency , Principal ,PRICE,CURRENCY,FX Spot Rate, COMMISSION ,Rate, Credit 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,GENMAB A/S,GMAB DC,DK0010272202,4595739,,25064019,1/25/22,1/27/22,S,"3,500","3,500", -   ,2646.2131,DDK,6.1287,"$2,266.81 ",0.0015,"$1,057.84 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25063125,1/25/22,1/27/22,S,"2,807,415","2,807,415", -   ,0.19353,GBP,1.3663,$296.94 ,0.0004,$148.47 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25064682,1/26/22,1/28/22,S,"2,610,073","2,610,073", -   ,0.201607,GBP,1.3736,$289.12 ,0.0004,$144.56 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,MERCK KGAA,MRK GY,DE0006599905,4741844,,25065507,1/26/22,1/28/22,S,"10,000","10,000", -   ,143.5242,EU,1.21675,"$2,619.49 ",0.0015,"$1,222.43 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25068252,1/27/22,1/29/22,S,"64,294","64,294", -   ,0.221729,GBP,1.3681,$7.80 ,0.0004,$3.90 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25066859,1/27/22,1/29/22,S,"601,167","601,167", -   ,0.227865,GBP,1.3681,$74.96 ,0.0004,$37.48 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25066528,1/27/22,1/29/22,S,"2,282,928","2,282,928", -   ,0.212042,GBP,1.3681,$264.91 ,0.0004,$132.46 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,LINDE AG,LIN GY,IE00BZ12WP82,BYWD9S5,,25066398,1/27/22,1/29/22,S,"10,000","10,000", -   ,206.3762,EU,1.20975,"$3,744.95 ",0.0015,"$1,747.64 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25069956,1/28/22,2/1/22,B,"634,260","634,260", -   ,5.2,EU,1.21325,"$1,600.59 ",0.0004,$800.30 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,SCOTTISH & SOUTHERN,SSE LN,,,S-0790873,25069951,1/28/22,2/1/22,B,"194,837","194,837", -   ,14.936085,GBP,1.3741,"$1,599.51 ",0.0004,$799.76 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,ASML HOLDING N.V.,ASML NA,NL0010273215,B929F46,,25073498,1/29/22,2/2/22,B,"3,000","3,000", -   ,444.5539,EU,1.21325,"$2,427.09 ",0.0015,"$1,132.64 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,DAIMLERCHRYSLER AG-R,DAI GY,DE0007100000,5529027,,25073499,1/29/22,2/2/22,B,"50,000","50,000", -   ,58.5826,EU,1.21325,"$1,421.50 ",0.0004,$710.75 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25072104,1/29/22,2/2/22,B,"79,345","79,345", -   ,5.21,EU,1.21325,$206.93 ,0.0004,$103.47 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25072433,1/29/22,2/2/22,B,"192,382","192,382", -   ,5.2016,EU,1.21325,$500.93 ,0.0004,$250.47 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,SWISSCOM AG-REG,SCMN SW,CH0008742519,5533976,,25072986,1/29/22,2/2/22,B,"3,250","3,250", -   ,489.8162,SWF,0.8903,"$2,682.07 ",0.0015,"$1,251.63 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,SCOTTISH & SOUTHERN,SSE LN,,,S-0790873,25071375,1/29/22,2/2/22,B,"176,292","176,292", -   ,14.915389,GBP,1.3707,"$1,441.69 ",0.0004,$720.85 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,APPLE INC,AAPL,,2046251,37833100,25064222,1/25/22,1/27/22,S,"25,000","25,000", -   ,142.4207,USD,1,$750.00 ,0.03,$650.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,BNP PARIBAS,BNP FP,,,S-7309681,25064431,1/25/22,1/27/22,S,244,244, -   ,42.7472,EU,1.21385,$10.12 ,0.0008,$7.59 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,ETF,Cash Equity,ISHARES MSCI S KOREA,EWY,,2592561,464286772,25063343,1/25/22,1/27/22,S,"75,000","75,000", -   ,95.1895,USD,1,"$2,250.00 ",0.03,"$1,950.00 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,HARMONY BIOSCIENCES HOLDINGS,HRMY,,,413197104,25064481,1/25/22,1/27/22,S,"8,562","8,562", -   ,36.8734,USD,1,$256.86 ,0.03,$222.61 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,INTEL CORPORATION,INTC,,2463247,458140100,25063969,1/25/22,1/27/22,S,"50,000","50,000", -   ,54.9787,USD,1,"$1,500.00 ",0.03,"$1,300.00 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,LAM RESEARCH,LRCX,,,512807108,25063265,1/25/22,1/27/22,S,"5,000","5,000", -   ,564.8168,USD,1,$150.00 ,0.03,$130.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,MICROSOFT CORP,MSFT,,2588173,594918104,25064214,1/25/22,1/27/22,S,"15,000","15,000", -   ,227.5841,USD,1,$450.00 ,0.03,$390.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,MICRON TECHNOLOGY,MU,,2588184,595112103,25064422,1/25/22,1/27/22,S,"25,000","25,000", -   ,80.7752,USD,1,$750.00 ,0.03,$650.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ON SEMICONDUCTOR CORP,ON,,2583576,682189105,25064423,1/25/22,1/27/22,S,"50,000","50,000", -   ,36.6732,USD,1,"$1,500.00 ",0.03,"$1,300.00 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,PUBLICIS GROUPE,PUB FP,,,S-4380429,25063973,1/25/22,1/27/22,S,78,78, -   ,43.46,EU,1.21385,$3.29 ,0.0008,$2.47 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SCHLUMBERGER LTD,SLB,,2779201,806857108,25062824,1/25/22,1/27/22,S,"150,000","150,000", -   ,23.4932,USD,1,"$4,500.00 ",0.03,"$3,900.00 "
