FUND,Broker Code,BROKER,CAXTON_BROKER_NAME,CSA_TYPE,ACCOUNT,Instrument Type,INST_TYPE_GROUP,DESCRIPTION,TICKER,ISIN,SEDOL,CUSIP,Trade Id,Trade Date,Settle Date,B/S, QUANTITY , Agency , Principal ,PRICE,CURRENCY,FX Spot Rate, COMMISSION ,Rate, Credit 
QM,JPCG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQSWP,Cash Equity,LLOYDS GROUP SWAP,LLOY LN,,,S-0870612,25153843,3/19/2022,23-Mar-23,S,"2,79,75,706","2,79,75,706", -   ,0.411078,GBP,1.3872,"$22,431.40 ",0.0014,"$10,917.91 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,LLOYDS GROUP SWAP,LLOY LN,,,S-0870612,25080980,Feb-4-2022,02-08-2022,B,"1,85,57,155","1,85,57,155", -   ,0.361474,GBP,1.3676,"$3,669.50 ",0.0004,"$1,834.75 "
QM,JPCG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25066214,1/26/2022,28-01-2022,S,"1,06,00,000","1,06,00,000", -   ,0.200018,GBP,1.3736,"$4,807.81 ",0.0017,"$2,039.31 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,LLOYDS GROUP SWAP,LLOY LN,,,S-0870612,25081529,02-05-2022,02-09-2022,B,"1,05,20,507","1,05,20,507", -   ,0.370329,GBP,1.373,"$2,139.71 ",0.0004,"$1,069.86 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,LLOYDS GROUP SWAP,LLOY LN,,,S-0870612,25126019,03-03-2022,03-05-2022,B,"60,00,000","60,00,000", -   ,0.403421,GBP,1.3966,"$1,352.20 ",0.0004,$676.10 
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQSWP,Cash Equity,LLOYDS GROUP SWAP,LLOY LN,,,S-0870612,25082484,02-05-2022,02-09-2022,B,"58,82,649","58,82,649", -   ,0.369618,GBP,1.373,"$2,277.68 ",0.0008,"$1,708.26 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQSWP,Cash Equity,BARCLAYS SWAP,BARC LN,,,S-3134865,25081527,02-05-2022,02-09-2022,B,"52,57,874","52,57,874", -   ,1.474445,GBP,1.373,"$8,338.19 ",0.0008,"$6,253.64 "
QM,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25269790,6/21/2022,6/23/2022,B,"40,00,000","40,00,000", -   ,0.3915,GBP,1.3933,"$3,272.86 ",0.0015,"$1,527.33 "
QM,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25269482,6/21/2022,6/23/2022,B,"33,00,000","33,00,000", -   ,0.3915,GBP,1.3933,"$2,700.12 ",0.0015,"$1,260.06 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQSWP,Cash Equity,NATWEST GROUP PLC SWAP,NWG LN,,,S-B7T7721,25083825,02-05-2022,02-09-2022,B,"31,08,458","31,08,458", -   ,1.688291,GBP,1.373,"$6,012.82 ",0.0008,"$4,509.62 "
